,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
34,2021 (FYTD),2021 (FYTD),JAN,JAN,386,El Salvador,U.S. Border Patrol,UC / Single Minors,all
35,2018,2018,DEC,DEC,332,El Salvador,U.S. Border Patrol,UC / Single Minors,all
36,2019,2019,DEC,DEC,435,El Salvador,U.S. Border Patrol,UC / Single Minors,all
37,2020,2020,DEC,DEC,279,El Salvador,U.S. Border Patrol,UC / Single Minors,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,355,El Salvador,U.S. Border Patrol,UC / Single Minors,all
39,2018,2018,NOV,NOV,371,El Salvador,U.S. Border Patrol,UC / Single Minors,all
40,2019,2019,NOV,NOV,657,El Salvador,U.S. Border Patrol,UC / Single Minors,all
41,2020,2020,NOV,NOV,295,El Salvador,U.S. Border Patrol,UC / Single Minors,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,344,El Salvador,U.S. Border Patrol,UC / Single Minors,all
43,2018,2018,OCT,OCT,289,El Salvador,U.S. Border Patrol,UC / Single Minors,all
44,2019,2019,OCT,OCT,636,El Salvador,U.S. Border Patrol,UC / Single Minors,all
45,2020,2020,OCT,OCT,346,El Salvador,U.S. Border Patrol,UC / Single Minors,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,333,El Salvador,U.S. Border Patrol,UC / Single Minors,all
0,2018,2018,SEP,SEP,577,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
1,2019,2019,SEP,SEP,427,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
2,2020,2020,SEP,SEP,150,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
3,2018,2018,AUG,AUG,611,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
4,2019,2019,AUG,AUG,632,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
5,2020,2020,AUG,AUG,65,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,2105,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
7,2018,2018,JUL,JUL,483,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
8,2019,2019,JUL,JUL,1148,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
9,2020,2020,JUL,JUL,13,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,2111,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
11,2018,2018,JUN,JUN,588,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
12,2019,2019,JUN,JUN,1545,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
13,2020,2020,JUN,JUN,10,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,1840,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
15,2018,2018,MAY,MAY,601,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
16,2019,2019,MAY,MAY,2156,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
17,2020,2020,MAY,MAY,1,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,1658,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
19,2018,2018,APR,APR,377,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
20,2019,2019,APR,APR,1632,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
21,2020,2020,APR,APR,6,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,2089,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
23,2018,2018,MAR,MAR,326,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
24,2019,2019,MAR,MAR,1364,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
25,2020,2020,MAR,MAR,234,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,1580,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
27,2018,2018,FEB,FEB,202,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
28,2019,2019,FEB,FEB,824,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
29,2020,2020,FEB,FEB,269,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,767,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
31,2018,2018,JAN,JAN,192,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
32,2019,2019,JAN,JAN,565,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
33,2020,2020,JAN,JAN,215,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,386,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
35,2018,2018,DEC,DEC,332,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
36,2019,2019,DEC,DEC,435,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
37,2020,2020,DEC,DEC,279,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,355,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
39,2018,2018,NOV,NOV,371,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
40,2019,2019,NOV,NOV,657,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
41,2020,2020,NOV,NOV,295,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,280,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
43,2018,2018,OCT,OCT,289,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
44,2019,2019,OCT,OCT,636,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
45,2020,2020,OCT,OCT,346,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,217,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 8
0,2020,2020,SEP,SEP,75,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
1,2020,2020,AUG,AUG,78,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,1,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
3,2020,2020,JUL,JUL,80,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
4,2020,2020,JUN,JUN,28,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
5,2020,2020,MAY,MAY,9,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
6,2020,2020,APR,APR,16,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
7,2021 (FYTD),2021 (FYTD),APR,APR,1,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
8,2020,2020,MAR,MAR,20,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
9,2021 (FYTD),2021 (FYTD),NOV,NOV,64,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
10,2021 (FYTD),2021 (FYTD),OCT,OCT,116,El Salvador,U.S. Border Patrol,UC / Single Minors,Title 42
0,2018,2018,SEP,SEP,13150,Guatemala,all,all,all
1,2019,2019,SEP,SEP,5697,Guatemala,all,all,all
2,2020,2020,SEP,SEP,5912,Guatemala,all,all,all
3,2018,2018,AUG,AUG,11048,Guatemala,all,all,all
4,2019,2019,AUG,AUG,8750,Guatemala,all,all,all
5,2020,2020,AUG,AUG,4146,Guatemala,all,all,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,37053,Guatemala,all,all,all
7,2018,2018,JUL,JUL,9486,Guatemala,all,all,all
8,2019,2019,JUL,JUL,14536,Guatemala,all,all,all
9,2020,2020,JUL,JUL,2418,Guatemala,all,all,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,36461,Guatemala,all,all,all
11,2018,2018,JUN,JUN,11129,Guatemala,all,all,all
12,2019,2019,JUN,JUN,24868,Guatemala,all,all,all
13,2020,2020,JUN,JUN,1064,Guatemala,all,all,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,30242,Guatemala,all,all,all
15,2018,2018,MAY,MAY,14170,Guatemala,all,all,all
16,2019,2019,MAY,MAY,45306,Guatemala,all,all,all
17,2020,2020,MAY,MAY,724,Guatemala,all,all,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,26451,Guatemala,all,all,all
19,2018,2018,APR,APR,12624,Guatemala,all,all,all
20,2019,2019,APR,APR,33521,Guatemala,all,all,all
21,2020,2020,APR,APR,1357,Guatemala,all,all,all
22,2021 (FYTD),2021 (FYTD),APR,APR,30052,Guatemala,all,all,all
23,2018,2018,MAR,MAR,11836,Guatemala,all,all,all
24,2019,2019,MAR,MAR,34030,Guatemala,all,all,all
25,2020,2020,MAR,MAR,4329,Guatemala,all,all,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,34060,Guatemala,all,all,all
27,2018,2018,FEB,FEB,9080,Guatemala,all,all,all
28,2019,2019,FEB,FEB,24250,Guatemala,all,all,all
29,2020,2020,FEB,FEB,4885,Guatemala,all,all,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,19154,Guatemala,all,all,all
31,2018,2018,JAN,JAN,9060,Guatemala,all,all,all
32,2019,2019,JAN,JAN,18978,Guatemala,all,all,all
33,2020,2020,JAN,JAN,4580,Guatemala,all,all,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,13138,Guatemala,all,all,all
35,2018,2018,DEC,DEC,13250,Guatemala,all,all,all
36,2019,2019,DEC,DEC,22152,Guatemala,all,all,all
37,2020,2020,DEC,DEC,6490,Guatemala,all,all,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,12454,Guatemala,all,all,all
39,2018,2018,NOV,NOV,10306,Guatemala,all,all,all
40,2019,2019,NOV,NOV,19958,Guatemala,all,all,all
41,2020,2020,NOV,NOV,6240,Guatemala,all,all,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,10323,Guatemala,all,all,all
43,2018,2018,OCT,OCT,8192,Guatemala,all,all,all
44,2019,2019,OCT,OCT,18152,Guatemala,all,all,all
45,2020,2020,OCT,OCT,5909,Guatemala,all,all,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,9301,Guatemala,all,all,all
0,2018,2018,SEP,SEP,13150,Guatemala,all,all,Title 8
1,2019,2019,SEP,SEP,5697,Guatemala,all,all,Title 8
2,2020,2020,SEP,SEP,816,Guatemala,all,all,Title 8
3,2018,2018,AUG,AUG,11048,Guatemala,all,all,Title 8
4,2019,2019,AUG,AUG,8750,Guatemala,all,all,Title 8
5,2020,2020,AUG,AUG,376,Guatemala,all,all,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,19730,Guatemala,all,all,Title 8
7,2018,2018,JUL,JUL,9486,Guatemala,all,all,Title 8
8,2019,2019,JUL,JUL,14536,Guatemala,all,all,Title 8
9,2020,2020,JUL,JUL,177,Guatemala,all,all,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,21727,Guatemala,all,all,Title 8
11,2018,2018,JUN,JUN,11129,Guatemala,all,all,Title 8
12,2019,2019,JUN,JUN,24868,Guatemala,all,all,Title 8
13,2020,2020,JUN,JUN,68,Guatemala,all,all,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,13290,Guatemala,all,all,Title 8
15,2018,2018,MAY,MAY,14170,Guatemala,all,all,Title 8
16,2019,2019,MAY,MAY,45306,Guatemala,all,all,Title 8
17,2020,2020,MAY,MAY,62,Guatemala,all,all,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,9216,Guatemala,all,all,Title 8
19,2018,2018,APR,APR,12624,Guatemala,all,all,Title 8
20,2019,2019,APR,APR,33521,Guatemala,all,all,Title 8
21,2020,2020,APR,APR,58,Guatemala,all,all,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,10807,Guatemala,all,all,Title 8
23,2018,2018,MAR,MAR,11836,Guatemala,all,all,Title 8
24,2019,2019,MAR,MAR,34030,Guatemala,all,all,Title 8
25,2020,2020,MAR,MAR,3249,Guatemala,all,all,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,13728,Guatemala,all,all,Title 8
27,2018,2018,FEB,FEB,9080,Guatemala,all,all,Title 8
28,2019,2019,FEB,FEB,24250,Guatemala,all,all,Title 8
29,2020,2020,FEB,FEB,4885,Guatemala,all,all,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,5684,Guatemala,all,all,Title 8
31,2018,2018,JAN,JAN,9060,Guatemala,all,all,Title 8
32,2019,2019,JAN,JAN,18978,Guatemala,all,all,Title 8
33,2020,2020,JAN,JAN,4580,Guatemala,all,all,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,2562,Guatemala,all,all,Title 8
35,2018,2018,DEC,DEC,13250,Guatemala,all,all,Title 8
36,2019,2019,DEC,DEC,22152,Guatemala,all,all,Title 8
37,2020,2020,DEC,DEC,6490,Guatemala,all,all,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,1979,Guatemala,all,all,Title 8
39,2018,2018,NOV,NOV,10306,Guatemala,all,all,Title 8
40,2019,2019,NOV,NOV,19958,Guatemala,all,all,Title 8
41,2020,2020,NOV,NOV,6240,Guatemala,all,all,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,1317,Guatemala,all,all,Title 8
43,2018,2018,OCT,OCT,8192,Guatemala,all,all,Title 8
44,2019,2019,OCT,OCT,18152,Guatemala,all,all,Title 8
45,2020,2020,OCT,OCT,5909,Guatemala,all,all,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,946,Guatemala,all,all,Title 8
0,2020,2020,SEP,SEP,5096,Guatemala,all,all,Title 42
1,2020,2020,AUG,AUG,3770,Guatemala,all,all,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,17323,Guatemala,all,all,Title 42
3,2020,2020,JUL,JUL,2241,Guatemala,all,all,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,14734,Guatemala,all,all,Title 42
5,2020,2020,JUN,JUN,996,Guatemala,all,all,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,16952,Guatemala,all,all,Title 42
7,2020,2020,MAY,MAY,662,Guatemala,all,all,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,17235,Guatemala,all,all,Title 42
9,2020,2020,APR,APR,1299,Guatemala,all,all,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,19245,Guatemala,all,all,Title 42
11,2020,2020,MAR,MAR,1080,Guatemala,all,all,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,20332,Guatemala,all,all,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,13470,Guatemala,all,all,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,10576,Guatemala,all,all,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,10475,Guatemala,all,all,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,9006,Guatemala,all,all,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,8355,Guatemala,all,all,Title 42
0,2018,2018,SEP,SEP,1,Guatemala,all,Accompanied Minors,all
1,2019,2019,SEP,SEP,3,Guatemala,all,Accompanied Minors,all
2,2018,2018,AUG,AUG,3,Guatemala,all,Accompanied Minors,all
3,2019,2019,AUG,AUG,0,Guatemala,all,Accompanied Minors,all
4,2020,2020,AUG,AUG,1,Guatemala,all,Accompanied Minors,all
5,2021 (FYTD),2021 (FYTD),AUG,AUG,7,Guatemala,all,Accompanied Minors,all
6,2018,2018,JUL,JUL,3,Guatemala,all,Accompanied Minors,all
7,2019,2019,JUL,JUL,0,Guatemala,all,Accompanied Minors,all
8,2020,2020,JUL,JUL,2,Guatemala,all,Accompanied Minors,all
9,2021 (FYTD),2021 (FYTD),JUL,JUL,3,Guatemala,all,Accompanied Minors,all
10,2018,2018,JUN,JUN,6,Guatemala,all,Accompanied Minors,all
11,2019,2019,JUN,JUN,0,Guatemala,all,Accompanied Minors,all
12,2020,2020,JUN,JUN,4,Guatemala,all,Accompanied Minors,all
13,2021 (FYTD),2021 (FYTD),JUN,JUN,3,Guatemala,all,Accompanied Minors,all
14,2018,2018,MAY,MAY,8,Guatemala,all,Accompanied Minors,all
15,2019,2019,MAY,MAY,0,Guatemala,all,Accompanied Minors,all
16,2021 (FYTD),2021 (FYTD),MAY,MAY,2,Guatemala,all,Accompanied Minors,all
17,2018,2018,APR,APR,9,Guatemala,all,Accompanied Minors,all
18,2019,2019,APR,APR,1,Guatemala,all,Accompanied Minors,all
19,2021 (FYTD),2021 (FYTD),APR,APR,7,Guatemala,all,Accompanied Minors,all
20,2018,2018,MAR,MAR,15,Guatemala,all,Accompanied Minors,all
21,2019,2019,MAR,MAR,3,Guatemala,all,Accompanied Minors,all
22,2021 (FYTD),2021 (FYTD),MAR,MAR,7,Guatemala,all,Accompanied Minors,all
23,2018,2018,FEB,FEB,9,Guatemala,all,Accompanied Minors,all
24,2019,2019,FEB,FEB,1,Guatemala,all,Accompanied Minors,all
25,2021 (FYTD),2021 (FYTD),FEB,FEB,11,Guatemala,all,Accompanied Minors,all
26,2018,2018,JAN,JAN,7,Guatemala,all,Accompanied Minors,all
27,2019,2019,JAN,JAN,2,Guatemala,all,Accompanied Minors,all
28,2021 (FYTD),2021 (FYTD),JAN,JAN,1,Guatemala,all,Accompanied Minors,all
29,2018,2018,DEC,DEC,10,Guatemala,all,Accompanied Minors,all
30,2019,2019,DEC,DEC,0,Guatemala,all,Accompanied Minors,all
31,2020,2020,DEC,DEC,1,Guatemala,all,Accompanied Minors,all
32,2021 (FYTD),2021 (FYTD),DEC,DEC,3,Guatemala,all,Accompanied Minors,all
33,2018,2018,NOV,NOV,3,Guatemala,all,Accompanied Minors,all
34,2019,2019,NOV,NOV,3,Guatemala,all,Accompanied Minors,all
35,2021 (FYTD),2021 (FYTD),NOV,NOV,3,Guatemala,all,Accompanied Minors,all
36,2018,2018,OCT,OCT,11,Guatemala,all,Accompanied Minors,all
37,2019,2019,OCT,OCT,0,Guatemala,all,Accompanied Minors,all
38,2020,2020,OCT,OCT,1,Guatemala,all,Accompanied Minors,all
39,2021 (FYTD),2021 (FYTD),OCT,OCT,12,Guatemala,all,Accompanied Minors,all
0,2018,2018,SEP,SEP,1,Guatemala,all,Accompanied Minors,Title 8
1,2019,2019,SEP,SEP,3,Guatemala,all,Accompanied Minors,Title 8
2,2018,2018,AUG,AUG,3,Guatemala,all,Accompanied Minors,Title 8
3,2019,2019,AUG,AUG,0,Guatemala,all,Accompanied Minors,Title 8
4,2020,2020,AUG,AUG,%null%,Guatemala,all,Accompanied Minors,Title 8
5,2021 (FYTD),2021 (FYTD),AUG,AUG,3,Guatemala,all,Accompanied Minors,Title 8
6,2018,2018,JUL,JUL,3,Guatemala,all,Accompanied Minors,Title 8
7,2019,2019,JUL,JUL,0,Guatemala,all,Accompanied Minors,Title 8
8,2020,2020,JUL,JUL,%null%,Guatemala,all,Accompanied Minors,Title 8
9,2018,2018,JUN,JUN,6,Guatemala,all,Accompanied Minors,Title 8
10,2019,2019,JUN,JUN,0,Guatemala,all,Accompanied Minors,Title 8
11,2020,2020,JUN,JUN,%null%,Guatemala,all,Accompanied Minors,Title 8
12,2021 (FYTD),2021 (FYTD),JUN,JUN,1,Guatemala,all,Accompanied Minors,Title 8
13,2018,2018,MAY,MAY,8,Guatemala,all,Accompanied Minors,Title 8
14,2019,2019,MAY,MAY,0,Guatemala,all,Accompanied Minors,Title 8
15,2018,2018,APR,APR,9,Guatemala,all,Accompanied Minors,Title 8
16,2019,2019,APR,APR,1,Guatemala,all,Accompanied Minors,Title 8
17,2021 (FYTD),2021 (FYTD),APR,APR,2,Guatemala,all,Accompanied Minors,Title 8
18,2018,2018,MAR,MAR,15,Guatemala,all,Accompanied Minors,Title 8
19,2019,2019,MAR,MAR,3,Guatemala,all,Accompanied Minors,Title 8
20,2018,2018,FEB,FEB,9,Guatemala,all,Accompanied Minors,Title 8
21,2019,2019,FEB,FEB,1,Guatemala,all,Accompanied Minors,Title 8
22,2021 (FYTD),2021 (FYTD),FEB,FEB,1,Guatemala,all,Accompanied Minors,Title 8
23,2018,2018,JAN,JAN,7,Guatemala,all,Accompanied Minors,Title 8
24,2019,2019,JAN,JAN,2,Guatemala,all,Accompanied Minors,Title 8
25,2018,2018,DEC,DEC,10,Guatemala,all,Accompanied Minors,Title 8
26,2019,2019,DEC,DEC,0,Guatemala,all,Accompanied Minors,Title 8
27,2020,2020,DEC,DEC,1,Guatemala,all,Accompanied Minors,Title 8
28,2018,2018,NOV,NOV,3,Guatemala,all,Accompanied Minors,Title 8
29,2019,2019,NOV,NOV,3,Guatemala,all,Accompanied Minors,Title 8
30,2018,2018,OCT,OCT,11,Guatemala,all,Accompanied Minors,Title 8
31,2019,2019,OCT,OCT,0,Guatemala,all,Accompanied Minors,Title 8
32,2020,2020,OCT,OCT,1,Guatemala,all,Accompanied Minors,Title 8
0,2020,2020,AUG,AUG,1,Guatemala,all,Accompanied Minors,Title 42
1,2021 (FYTD),2021 (FYTD),AUG,AUG,4,Guatemala,all,Accompanied Minors,Title 42
2,2020,2020,JUL,JUL,2,Guatemala,all,Accompanied Minors,Title 42
3,2021 (FYTD),2021 (FYTD),JUL,JUL,3,Guatemala,all,Accompanied Minors,Title 42
4,2020,2020,JUN,JUN,4,Guatemala,all,Accompanied Minors,Title 42
5,2021 (FYTD),2021 (FYTD),JUN,JUN,2,Guatemala,all,Accompanied Minors,Title 42
6,2021 (FYTD),2021 (FYTD),MAY,MAY,2,Guatemala,all,Accompanied Minors,Title 42
7,2021 (FYTD),2021 (FYTD),APR,APR,5,Guatemala,all,Accompanied Minors,Title 42
8,2021 (FYTD),2021 (FYTD),MAR,MAR,7,Guatemala,all,Accompanied Minors,Title 42
9,2021 (FYTD),2021 (FYTD),FEB,FEB,10,Guatemala,all,Accompanied Minors,Title 42
10,2021 (FYTD),2021 (FYTD),JAN,JAN,1,Guatemala,all,Accompanied Minors,Title 42
11,2021 (FYTD),2021 (FYTD),DEC,DEC,3,Guatemala,all,Accompanied Minors,Title 42
12,2021 (FYTD),2021 (FYTD),NOV,NOV,3,Guatemala,all,Accompanied Minors,Title 42
13,2021 (FYTD),2021 (FYTD),OCT,OCT,12,Guatemala,all,Accompanied Minors,Title 42
0,2018,2018,SEP,SEP,8106,Guatemala,all,FMUA,all
1,2019,2019,SEP,SEP,2869,Guatemala,all,FMUA,all
2,2020,2020,SEP,SEP,507,Guatemala,all,FMUA,all
3,2018,2018,AUG,AUG,5939,Guatemala,all,FMUA,all
4,2019,2019,AUG,AUG,5380,Guatemala,all,FMUA,all
5,2020,2020,AUG,AUG,471,Guatemala,all,FMUA,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,18007,Guatemala,all,FMUA,all
7,2018,2018,JUL,JUL,4439,Guatemala,all,FMUA,all
8,2019,2019,JUL,JUL,10139,Guatemala,all,FMUA,all
9,2020,2020,JUL,JUL,224,Guatemala,all,FMUA,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,16086,Guatemala,all,FMUA,all
11,2018,2018,JUN,JUN,4821,Guatemala,all,FMUA,all
12,2019,2019,JUN,JUN,18201,Guatemala,all,FMUA,all
13,2020,2020,JUN,JUN,121,Guatemala,all,FMUA,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,8516,Guatemala,all,FMUA,all
15,2018,2018,MAY,MAY,5368,Guatemala,all,FMUA,all
16,2019,2019,MAY,MAY,34352,Guatemala,all,FMUA,all
17,2020,2020,MAY,MAY,94,Guatemala,all,FMUA,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,5519,Guatemala,all,FMUA,all
19,2018,2018,APR,APR,5958,Guatemala,all,FMUA,all
20,2019,2019,APR,APR,24558,Guatemala,all,FMUA,all
21,2020,2020,APR,APR,79,Guatemala,all,FMUA,all
22,2021 (FYTD),2021 (FYTD),APR,APR,8519,Guatemala,all,FMUA,all
23,2018,2018,MAR,MAR,5694,Guatemala,all,FMUA,all
24,2019,2019,MAR,MAR,24252,Guatemala,all,FMUA,all
25,2020,2020,MAR,MAR,554,Guatemala,all,FMUA,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,11718,Guatemala,all,FMUA,all
27,2018,2018,FEB,FEB,3917,Guatemala,all,FMUA,all
28,2019,2019,FEB,FEB,16451,Guatemala,all,FMUA,all
29,2020,2020,FEB,FEB,917,Guatemala,all,FMUA,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,3811,Guatemala,all,FMUA,all
31,2018,2018,JAN,JAN,3885,Guatemala,all,FMUA,all
32,2019,2019,JAN,JAN,12902,Guatemala,all,FMUA,all
33,2020,2020,JAN,JAN,1085,Guatemala,all,FMUA,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,978,Guatemala,all,FMUA,all
35,2018,2018,DEC,DEC,6467,Guatemala,all,FMUA,all
36,2019,2019,DEC,DEC,15444,Guatemala,all,FMUA,all
37,2020,2020,DEC,DEC,2066,Guatemala,all,FMUA,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,756,Guatemala,all,FMUA,all
39,2018,2018,NOV,NOV,4597,Guatemala,all,FMUA,all
40,2019,2019,NOV,NOV,13151,Guatemala,all,FMUA,all
41,2020,2020,NOV,NOV,2425,Guatemala,all,FMUA,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,895,Guatemala,all,FMUA,all
43,2018,2018,OCT,OCT,3395,Guatemala,all,FMUA,all
44,2019,2019,OCT,OCT,11986,Guatemala,all,FMUA,all
45,2020,2020,OCT,OCT,2606,Guatemala,all,FMUA,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,814,Guatemala,all,FMUA,all
0,2018,2018,SEP,SEP,8106,Guatemala,all,FMUA,Title 8
1,2019,2019,SEP,SEP,2869,Guatemala,all,FMUA,Title 8
2,2020,2020,SEP,SEP,26,Guatemala,all,FMUA,Title 8
3,2018,2018,AUG,AUG,5939,Guatemala,all,FMUA,Title 8
4,2019,2019,AUG,AUG,5380,Guatemala,all,FMUA,Title 8
5,2020,2020,AUG,AUG,28,Guatemala,all,FMUA,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,10872,Guatemala,all,FMUA,Title 8
7,2018,2018,JUL,JUL,4439,Guatemala,all,FMUA,Title 8
8,2019,2019,JUL,JUL,10139,Guatemala,all,FMUA,Title 8
9,2020,2020,JUL,JUL,13,Guatemala,all,FMUA,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,13158,Guatemala,all,FMUA,Title 8
11,2018,2018,JUN,JUN,4821,Guatemala,all,FMUA,Title 8
12,2019,2019,JUN,JUN,18201,Guatemala,all,FMUA,Title 8
13,2020,2020,JUN,JUN,17,Guatemala,all,FMUA,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,6544,Guatemala,all,FMUA,Title 8
15,2018,2018,MAY,MAY,5368,Guatemala,all,FMUA,Title 8
16,2019,2019,MAY,MAY,34352,Guatemala,all,FMUA,Title 8
17,2020,2020,MAY,MAY,2,Guatemala,all,FMUA,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,3508,Guatemala,all,FMUA,Title 8
19,2018,2018,APR,APR,5958,Guatemala,all,FMUA,Title 8
20,2019,2019,APR,APR,24558,Guatemala,all,FMUA,Title 8
